failed to get console mode for stdout: The handle is invalid.
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   29.67%    82.89MiB / 7.702GiB   1.05%     1.86MB / 1.85MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    25.00%    83.59MiB / 7.702GiB   1.06%     1.85MB / 1.86MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    28.32%    83.25MiB / 7.702GiB   1.06%     1.87MB / 1.87MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    26.79%    85.3MiB / 7.702GiB    1.08%     1.86MB / 1.87MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    28.30%    85.16MiB / 7.702GiB   1.08%     1.85MB / 1.87MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    25.09%    66.07MiB / 7.702GiB   0.84%     1.85MB / 1.86MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    25.59%    64.63MiB / 7.702GiB   0.82%     1.85MB / 1.86MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    24.96%    63.7MiB / 7.702GiB    0.81%     1.86MB / 1.79MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    26.77%    65.21MiB / 7.702GiB   0.83%     1.86MB / 1.84MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    26.21%    64.73MiB / 7.702GiB   0.82%     1.86MB / 1.88MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   29.67%    82.89MiB / 7.702GiB   1.05%     1.86MB / 1.85MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    25.00%    83.59MiB / 7.702GiB   1.06%     1.85MB / 1.86MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    28.32%    83.25MiB / 7.702GiB   1.06%     1.87MB / 1.87MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    26.79%    85.3MiB / 7.702GiB    1.08%     1.86MB / 1.87MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    28.30%    85.16MiB / 7.702GiB   1.08%     1.85MB / 1.87MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    25.09%    66.07MiB / 7.702GiB   0.84%     1.85MB / 1.86MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    25.59%    64.63MiB / 7.702GiB   0.82%     1.85MB / 1.86MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    24.96%    63.7MiB / 7.702GiB    0.81%     1.86MB / 1.79MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    26.77%    65.21MiB / 7.702GiB   0.83%     1.86MB / 1.84MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    26.21%    64.73MiB / 7.702GiB   0.82%     1.86MB / 1.88MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   17.99%    83.15MiB / 7.702GiB   1.05%     2.08MB / 2.08MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    11.71%    83.72MiB / 7.702GiB   1.06%     2.08MB / 2.07MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    13.93%    83.38MiB / 7.702GiB   1.06%     2.08MB / 2.08MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    11.54%    85.48MiB / 7.702GiB   1.08%     2.08MB / 2.07MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    12.07%    85.33MiB / 7.702GiB   1.08%     2.07MB / 2.07MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    13.11%    66.36MiB / 7.702GiB   0.84%     2.08MB / 2.07MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    18.84%    65.07MiB / 7.702GiB   0.83%     2.08MB / 2.08MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    16.25%    64.15MiB / 7.702GiB   0.81%     2.08MB / 2.07MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    15.42%    65.7MiB / 7.702GiB    0.83%     2.08MB / 2.08MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    16.09%    65.02MiB / 7.702GiB   0.82%     2.08MB / 2.09MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   17.99%    83.15MiB / 7.702GiB   1.05%     2.08MB / 2.08MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    11.71%    83.72MiB / 7.702GiB   1.06%     2.08MB / 2.07MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    13.93%    83.38MiB / 7.702GiB   1.06%     2.08MB / 2.08MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    11.54%    85.48MiB / 7.702GiB   1.08%     2.08MB / 2.07MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    12.07%    85.33MiB / 7.702GiB   1.08%     2.07MB / 2.07MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    13.11%    66.36MiB / 7.702GiB   0.84%     2.08MB / 2.07MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    18.84%    65.07MiB / 7.702GiB   0.83%     2.08MB / 2.08MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    16.25%    64.15MiB / 7.702GiB   0.81%     2.08MB / 2.07MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    15.42%    65.7MiB / 7.702GiB    0.83%     2.08MB / 2.08MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    16.09%    65.02MiB / 7.702GiB   0.82%     2.08MB / 2.09MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   0.00%     83.15MiB / 7.702GiB   1.05%     2.08MB / 2.08MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    0.00%     83.72MiB / 7.702GiB   1.06%     2.08MB / 2.07MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    0.00%     83.38MiB / 7.702GiB   1.06%     2.08MB / 2.08MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    0.00%     85.48MiB / 7.702GiB   1.08%     2.08MB / 2.07MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    0.00%     85.33MiB / 7.702GiB   1.08%     2.07MB / 2.07MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    0.01%     66.36MiB / 7.702GiB   0.84%     2.08MB / 2.07MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    0.02%     65.07MiB / 7.702GiB   0.83%     2.08MB / 2.08MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    0.00%     64.15MiB / 7.702GiB   0.81%     2.08MB / 2.07MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    0.00%     65.7MiB / 7.702GiB    0.83%     2.08MB / 2.08MB   0B / 0B     7
