failed to get console mode for stdout: The handle is invalid.
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   38.24%    86.37MiB / 7.702GiB   1.10%     7.12MB / 7.73MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    36.75%    88.99MiB / 7.702GiB   1.13%     5.98MB / 7.13MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    43.20%    88.84MiB / 7.702GiB   1.13%     7.08MB / 6.66MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    34.65%    89.88MiB / 7.702GiB   1.14%     6.83MB / 6.84MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    43.12%    90.57MiB / 7.702GiB   1.15%     6.81MB / 6.4MB    0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    42.03%    76.51MiB / 7.702GiB   0.97%     6.67MB / 6.56MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    40.83%    74.91MiB / 7.702GiB   0.95%     7.17MB / 7.04MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    34.82%    74.41MiB / 7.702GiB   0.94%     6.32MB / 7.55MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    38.28%    91.45MiB / 7.702GiB   1.16%     7.22MB / 5.96MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    45.45%    75.46MiB / 7.702GiB   0.96%     7.41MB / 6.72MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   38.24%    86.37MiB / 7.702GiB   1.10%     7.12MB / 7.73MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    36.75%    88.99MiB / 7.702GiB   1.13%     5.98MB / 7.13MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    43.20%    88.84MiB / 7.702GiB   1.13%     7.08MB / 6.66MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    34.65%    89.88MiB / 7.702GiB   1.14%     6.83MB / 6.84MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    43.12%    90.57MiB / 7.702GiB   1.15%     6.81MB / 6.4MB    0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    42.03%    76.51MiB / 7.702GiB   0.97%     6.67MB / 6.56MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    40.83%    74.91MiB / 7.702GiB   0.95%     7.17MB / 7.04MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    34.82%    74.41MiB / 7.702GiB   0.94%     6.32MB / 7.55MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    38.28%    91.45MiB / 7.702GiB   1.16%     7.22MB / 5.96MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    45.45%    75.46MiB / 7.702GiB   0.96%     7.41MB / 6.72MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   32.50%    87.02MiB / 7.702GiB   1.10%     7.35MB / 8.24MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    43.80%    89.43MiB / 7.702GiB   1.13%     6.1MB / 7.33MB    0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    42.37%    89.41MiB / 7.702GiB   1.13%     7.32MB / 6.81MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    41.83%    90.24MiB / 7.702GiB   1.14%     7MB / 7.02MB      0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    33.92%    91.16MiB / 7.702GiB   1.16%     7.09MB / 6.61MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    42.69%    77.11MiB / 7.702GiB   0.98%     7.03MB / 6.78MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    33.99%    75.13MiB / 7.702GiB   0.95%     7.32MB / 7.29MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    41.52%    74.56MiB / 7.702GiB   0.95%     6.53MB / 7.76MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    40.82%    92.1MiB / 7.702GiB    1.17%     7.55MB / 6.13MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    42.76%    91.74MiB / 7.702GiB   1.16%     7.64MB / 6.95MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   32.50%    87.02MiB / 7.702GiB   1.10%     7.35MB / 8.24MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    43.80%    89.43MiB / 7.702GiB   1.13%     6.1MB / 7.33MB    0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    42.37%    89.41MiB / 7.702GiB   1.13%     7.32MB / 6.81MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    41.83%    90.24MiB / 7.702GiB   1.14%     7MB / 7.02MB      0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    33.92%    91.16MiB / 7.702GiB   1.16%     7.09MB / 6.61MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    42.69%    77.11MiB / 7.702GiB   0.98%     7.03MB / 6.78MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    33.99%    75.13MiB / 7.702GiB   0.95%     7.32MB / 7.29MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    41.52%    74.56MiB / 7.702GiB   0.95%     6.53MB / 7.76MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    40.82%    92.1MiB / 7.702GiB    1.17%     7.55MB / 6.13MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    42.76%    91.74MiB / 7.702GiB   1.16%     7.64MB / 6.95MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   32.50%    87.02MiB / 7.702GiB   1.10%     7.35MB / 8.24MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    43.80%    89.43MiB / 7.702GiB   1.13%     6.1MB / 7.33MB    0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    39.75%    89.9MiB / 7.702GiB    1.14%     7.48MB / 6.91MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    41.83%    90.66MiB / 7.702GiB   1.15%     7.2MB / 7.13MB    0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    37.96%    91.5MiB / 7.702GiB    1.16%     7.19MB / 7.08MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    42.69%    77.11MiB / 7.702GiB   0.98%     7.03MB / 6.78MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    33.99%    75.13MiB / 7.702GiB   0.95%     7.32MB / 7.29MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    41.52%    74.56MiB / 7.702GiB   0.95%     6.53MB / 7.76MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    39.32%    92.38MiB / 7.702GiB   1.17%     8.03MB / 6.43MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    34.49%    92.33MiB / 7.702GiB   1.17%     7.96MB / 6.99MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   35.49%    87.09MiB / 7.702GiB   1.10%     7.51MB / 8.39MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    45.98%    89.93MiB / 7.702GiB   1.14%     6.16MB / 7.58MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    39.75%    89.9MiB / 7.702GiB    1.14%     7.48MB / 6.91MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    41.83%    90.66MiB / 7.702GiB   1.15%     7.2MB / 7.13MB    0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    37.96%    91.5MiB / 7.702GiB    1.16%     7.19MB / 7.08MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    36.48%    77.64MiB / 7.702GiB   0.98%     7.12MB / 7.05MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    37.87%    75.36MiB / 7.702GiB   0.96%     7.43MB / 7.47MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    43.24%    75.36MiB / 7.702GiB   0.96%     6.84MB / 7.87MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    39.32%    92.38MiB / 7.702GiB   1.17%     8.03MB / 6.43MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    34.49%    92.33MiB / 7.702GiB   1.17%     7.96MB / 6.99MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   35.49%    87.09MiB / 7.702GiB   1.10%     7.51MB / 8.39MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    45.98%    89.93MiB / 7.702GiB   1.14%     6.16MB / 7.58MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    39.75%    89.9MiB / 7.702GiB    1.14%     7.48MB / 6.91MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    41.83%    90.66MiB / 7.702GiB   1.15%     7.2MB / 7.13MB    0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    37.96%    91.5MiB / 7.702GiB    1.16%     7.19MB / 7.08MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    36.48%    77.64MiB / 7.702GiB   0.98%     7.12MB / 7.05MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    37.87%    75.36MiB / 7.702GiB   0.96%     7.43MB / 7.47MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    43.24%    75.36MiB / 7.702GiB   0.96%     6.84MB / 7.87MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    39.32%    92.38MiB / 7.702GiB   1.17%     8.03MB / 6.43MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    34.49%    92.33MiB / 7.702GiB   1.17%     7.96MB / 6.99MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   41.86%    87.47MiB / 7.702GiB   1.11%     7.67MB / 8.53MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    42.12%    90.57MiB / 7.702GiB   1.15%     6.23MB / 7.76MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    37.69%    90.58MiB / 7.702GiB   1.15%     7.6MB / 7.02MB    0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    37.08%    90.99MiB / 7.702GiB   1.15%     7.41MB / 7.15MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    36.04%    91.88MiB / 7.702GiB   1.16%     7.31MB / 7.15MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    42.03%    93.96MiB / 7.702GiB   1.19%     7.24MB / 7.11MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    41.77%    75.59MiB / 7.702GiB   0.96%     7.51MB / 7.75MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    38.52%    75.8MiB / 7.702GiB    0.96%     6.92MB / 8.03MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    37.71%    92.85MiB / 7.702GiB   1.18%     8.15MB / 6.45MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    40.94%    92.59MiB / 7.702GiB   1.17%     8.1MB / 7.17MB    0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   41.86%    87.47MiB / 7.702GiB   1.11%     7.67MB / 8.53MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    42.12%    90.57MiB / 7.702GiB   1.15%     6.23MB / 7.76MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    37.69%    90.58MiB / 7.702GiB   1.15%     7.6MB / 7.02MB    0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    37.08%    90.99MiB / 7.702GiB   1.15%     7.41MB / 7.15MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    36.04%    91.88MiB / 7.702GiB   1.16%     7.31MB / 7.15MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    42.03%    93.96MiB / 7.702GiB   1.19%     7.24MB / 7.11MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    41.77%    75.59MiB / 7.702GiB   0.96%     7.51MB / 7.75MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    38.52%    75.8MiB / 7.702GiB    0.96%     6.92MB / 8.03MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    37.71%    92.85MiB / 7.702GiB   1.18%     8.15MB / 6.45MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    40.94%    92.59MiB / 7.702GiB   1.17%     8.1MB / 7.17MB    0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   37.89%    87.77MiB / 7.702GiB   1.11%     7.77MB / 8.68MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    37.05%    90.8MiB / 7.702GiB    1.15%     6.3MB / 7.82MB    0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    39.53%    90.02MiB / 7.702GiB   1.14%     7.72MB / 7.12MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    41.18%    91.58MiB / 7.702GiB   1.16%     7.6MB / 7.26MB    0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    38.15%    91.54MiB / 7.702GiB   1.16%     7.44MB / 7.31MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    31.93%    93.48MiB / 7.702GiB   1.19%     7.35MB / 7.27MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    42.97%    76.14MiB / 7.702GiB   0.97%     7.71MB / 7.92MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    38.50%    84.78MiB / 7.702GiB   1.07%     7.01MB / 8.21MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    42.45%    93.43MiB / 7.702GiB   1.18%     8.29MB / 6.57MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    46.73%    93.15MiB / 7.702GiB   1.18%     8.24MB / 7.25MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   37.89%    87.77MiB / 7.702GiB   1.11%     7.77MB / 8.68MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    37.05%    90.8MiB / 7.702GiB    1.15%     6.3MB / 7.82MB    0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    39.53%    90.02MiB / 7.702GiB   1.14%     7.72MB / 7.12MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    41.18%    91.58MiB / 7.702GiB   1.16%     7.6MB / 7.26MB    0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    38.15%    91.54MiB / 7.702GiB   1.16%     7.44MB / 7.31MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    31.93%    93.48MiB / 7.702GiB   1.19%     7.35MB / 7.27MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    42.97%    76.14MiB / 7.702GiB   0.97%     7.71MB / 7.92MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    38.50%    84.78MiB / 7.702GiB   1.07%     7.01MB / 8.21MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    42.45%    93.43MiB / 7.702GiB   1.18%     8.29MB / 6.57MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    46.73%    93.15MiB / 7.702GiB   1.18%     8.24MB / 7.25MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   39.20%    87.8MiB / 7.702GiB    1.11%     7.95MB / 8.89MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    38.30%    91.21MiB / 7.702GiB   1.16%     6.36MB / 8MB      0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    35.92%    90.59MiB / 7.702GiB   1.15%     7.84MB / 7.35MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    38.27%    91.14MiB / 7.702GiB   1.16%     7.69MB / 7.42MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    38.37%    91.8MiB / 7.702GiB    1.16%     7.55MB / 7.36MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    39.91%    93.66MiB / 7.702GiB   1.19%     7.47MB / 7.35MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    39.50%    76.54MiB / 7.702GiB   0.97%     7.89MB / 7.95MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    40.33%    92.96MiB / 7.702GiB   1.18%     7.26MB / 8.46MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    42.09%    93.85MiB / 7.702GiB   1.19%     8.44MB / 6.7MB    0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    44.73%    92.36MiB / 7.702GiB   1.17%     8.37MB / 7.34MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   39.20%    87.8MiB / 7.702GiB    1.11%     7.95MB / 8.89MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    38.30%    91.21MiB / 7.702GiB   1.16%     6.36MB / 8MB      0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    35.92%    90.59MiB / 7.702GiB   1.15%     7.84MB / 7.35MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    38.27%    91.14MiB / 7.702GiB   1.16%     7.69MB / 7.42MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    38.37%    91.8MiB / 7.702GiB    1.16%     7.55MB / 7.36MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    39.91%    93.66MiB / 7.702GiB   1.19%     7.47MB / 7.35MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    39.50%    76.54MiB / 7.702GiB   0.97%     7.89MB / 7.95MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    40.33%    92.96MiB / 7.702GiB   1.18%     7.26MB / 8.46MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    42.09%    93.85MiB / 7.702GiB   1.19%     8.44MB / 6.7MB    0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    44.73%    92.36MiB / 7.702GiB   1.17%     8.37MB / 7.34MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   41.21%    88.41MiB / 7.702GiB   1.12%     8.14MB / 9.1MB    0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    35.82%    91.83MiB / 7.702GiB   1.16%     6.4MB / 8.17MB    0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    36.39%    91.49MiB / 7.702GiB   1.16%     7.96MB / 7.48MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    40.34%    91.41MiB / 7.702GiB   1.16%     7.8MB / 7.47MB    0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    45.23%    92.52MiB / 7.702GiB   1.17%     7.66MB / 7.56MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    44.66%    94.88MiB / 7.702GiB   1.20%     7.53MB / 7.5MB    0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    35.87%    92.91MiB / 7.702GiB   1.18%     8.08MB / 8.14MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    40.44%    93.3MiB / 7.702GiB    1.18%     7.37MB / 8.54MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    35.29%    94.42MiB / 7.702GiB   1.20%     8.68MB / 6.72MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    39.52%    93.51MiB / 7.702GiB   1.19%     8.49MB / 7.41MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   41.21%    88.41MiB / 7.702GiB   1.12%     8.14MB / 9.1MB    0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    35.82%    91.83MiB / 7.702GiB   1.16%     6.4MB / 8.17MB    0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    36.39%    91.49MiB / 7.702GiB   1.16%     7.96MB / 7.48MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    40.34%    91.41MiB / 7.702GiB   1.16%     7.8MB / 7.47MB    0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    45.23%    92.52MiB / 7.702GiB   1.17%     7.66MB / 7.56MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    44.66%    94.88MiB / 7.702GiB   1.20%     7.53MB / 7.5MB    0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    35.87%    92.91MiB / 7.702GiB   1.18%     8.08MB / 8.14MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    40.44%    93.3MiB / 7.702GiB    1.18%     7.37MB / 8.54MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    35.29%    94.42MiB / 7.702GiB   1.20%     8.68MB / 6.72MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    39.52%    93.51MiB / 7.702GiB   1.19%     8.49MB / 7.41MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   39.80%    88.57MiB / 7.702GiB   1.12%     8.24MB / 9.23MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    40.55%    91.95MiB / 7.702GiB   1.17%     6.44MB / 8.23MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    33.74%    92.01MiB / 7.702GiB   1.17%     8.05MB / 7.62MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    38.61%    91.88MiB / 7.702GiB   1.16%     7.87MB / 7.66MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    42.17%    92.96MiB / 7.702GiB   1.18%     7.77MB / 7.62MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    40.00%    95.21MiB / 7.702GiB   1.21%     7.63MB / 7.52MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    41.71%    92.42MiB / 7.702GiB   1.17%     8.28MB / 8.25MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    38.89%    93.51MiB / 7.702GiB   1.19%     7.43MB / 8.7MB    0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    42.50%    94.78MiB / 7.702GiB   1.20%     8.79MB / 6.76MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    39.07%    93.76MiB / 7.702GiB   1.19%     8.62MB / 7.5MB    0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   39.80%    88.57MiB / 7.702GiB   1.12%     8.24MB / 9.23MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    40.55%    91.95MiB / 7.702GiB   1.17%     6.44MB / 8.23MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    33.74%    92.01MiB / 7.702GiB   1.17%     8.05MB / 7.62MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    38.61%    91.88MiB / 7.702GiB   1.16%     7.87MB / 7.66MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    42.17%    92.96MiB / 7.702GiB   1.18%     7.77MB / 7.62MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    40.00%    95.21MiB / 7.702GiB   1.21%     7.63MB / 7.52MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    41.71%    92.42MiB / 7.702GiB   1.17%     8.28MB / 8.25MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    38.89%    93.51MiB / 7.702GiB   1.19%     7.43MB / 8.7MB    0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    42.50%    94.78MiB / 7.702GiB   1.20%     8.79MB / 6.76MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    39.07%    93.76MiB / 7.702GiB   1.19%     8.62MB / 7.5MB    0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   36.03%    88.98MiB / 7.702GiB   1.13%     8.35MB / 9.4MB    0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    35.42%    92.38MiB / 7.702GiB   1.17%     6.52MB / 8.42MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    40.14%    92.57MiB / 7.702GiB   1.17%     8.18MB / 7.7MB    0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    38.71%    92.21MiB / 7.702GiB   1.17%     8MB / 7.7MB       0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    35.79%    93.43MiB / 7.702GiB   1.18%     7.89MB / 7.8MB    0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    39.12%    95.57MiB / 7.702GiB   1.21%     7.74MB / 7.6MB    0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    36.41%    92.62MiB / 7.702GiB   1.17%     8.4MB / 8.57MB    0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    39.41%    93.79MiB / 7.702GiB   1.19%     7.84MB / 9.02MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    52.04%    95.5MiB / 7.702GiB    1.21%     9.01MB / 6.79MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    34.24%    94.07MiB / 7.702GiB   1.19%     8.77MB / 7.66MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   36.03%    88.98MiB / 7.702GiB   1.13%     8.35MB / 9.4MB    0B / 0B     7
